Competition,Rank,Player,Team,Position,Game_Num,KDA,KP,Kills,Most_Kills,Deaths,Most_Deaths,Assists,名次,选手?,Most_Assits,GPM,CSPM,DPM,DMG_Pct,DTPM,DTPM_Pct,WPM,WCPM
2020 Demacia,35,Ming,RNG,Sup,4,3.6,0.712,1,4,4,5,13.2,35,Ming,19,253,1.13,177,0.079,575,0.176,1.87,0.38
2020 Demacia,36,Betty,RW,Bot,4,5.3,0.64,4.8,10,2.2,3,7.2,36,Betty,10,447,8.78,576,0.279,374,0.147,0.33,0.28
2020 Demacia,37,QiuQiu,RW,Sup,4,4.1,0.6,2,4,2.8,5,9.2,37,QiuQiu,17,260,1.24,173,0.084,440,0.172,1.65,0.37
2020 Demacia,38,Haro,RW,Jug,4,12.2,0.653,5.2,11,1,1,7,38,Haro,10,420,7.39,402,0.195,687,0.269,0.45,0.17
2020 Demacia,39,H4cker,ES,Jug,4,4.4,0.851,2,4,2.2,5,8,39,H4cker,13,342,6.25,262,0.161,725,0.305,0.41,0.31
2020 Demacia,40,XinMo,BLG,Sup,4,3,0.699,1,2,4.2,6,11.8,40,XinMo,21,245,0.88,101,0.053,460,0.168,1.73,0.33
2020 Demacia,41,Hope,EDG,Bot,4,6.2,0.675,7.8,15,2.2,3,6.2,41,Hope,10,470,9.2,543,0.253,454,0.174,0.74,0.36
2020 Demacia,42,clx,BLG,Mid,4,13.8,0.753,3.2,5,1,2,10.5,42,clx,16,411,8.77,464,0.244,317,0.116,0.51,0.22
2020 Demacia,43,Teeen,TT,Sup,4,1.8,0.604,0.5,1,4,7,6.8,43,Teeen,11,222,1.27,190,0.105,407,0.142,1.77,0.44
2020 Demacia,44,Light,LNG,Bot,4,6.9,0.738,7.5,12,1.8,3,4.5,44,Light,9,478,9.75,582,0.279,382,0.131,0.33,0.31
2020 Demacia,45,Captain,TT,Mid,4,3.8,0.792,3.5,5,2.5,5,6,45,Captain,8,409,8.58,596,0.329,546,0.191,0.36,0.42
2020 Demacia,46,Able,BLG,Bot,4,6.2,0.685,5.5,9,2,3,7,46,Able,10,468,9.28,504,0.265,391,0.143,0.67,0.46
2020 Demacia,47,ShiauC,ES,Sup,4,2.4,0.66,1,2,3.2,5,6.8,47,ShiauC,11,228,1.28,124,0.077,338,0.142,1.72,0.46
2020 Demacia,48,Cryin,RNG,Mid,4,6,0.75,4,5,2.5,6,11,48,Cryin,14,377,6.96,563,0.251,655,0.2,0.46,0.12
2020 Demacia,49,Chelizi,TT,Top,4,2.1,0.562,1.8,4,3.2,4,5,49,Chelizi,10,351,7.34,360,0.199,699,0.244,0.5,0.13
2020 Demacia,50,GALA,RNG,Bot,4,3.4,0.675,7.5,15,4,6,6,50,GALA,7,493,9.37,586,0.261,493,0.151,0.32,0.35
2020 Demacia,51,l3est16,BLG,Jug,4,10.4,0.712,4.5,8,1.2,3,8.5,51,l3est16,17,374,6.23,315,0.165,877,0.321,0.53,0.33
2020 Demacia,52,Tarzan,LNG,Jug,4,4.1,0.754,4.5,9,3,5,7.8,52,Tarzan,16,375,6.58,393,0.189,778,0.267,0.41,0.44
2020 Demacia,53,Wei,RNG,Jug,4,4.1,0.775,3.2,6,3.8,6,12.2,53,Wei,17,373,6.07,513,0.229,880,0.269,0.66,0.59
2020 Demacia,54,Aki,OMG,Jug,4,10.8,0.714,4.8,8,1.5,3,11.5,54,Aki,17,426,6.66,360,0.184,748,0.288,0.24,0.37
2020 Demacia,55,Cerasus,TP,Sup,4,0.9,0.633,0.2,1,5.5,7,4.5,55,Cerasus,8,208,1.32,247,0.134,506,0.182,1.49,0.4
2020 Demacia,56,Ke,YM,Sup,4,4.5,0.682,0.5,1,2.5,5,10.8,56,Ke,17,239,1.11,125,0.067,340,0.134,1.44,0.32
2020 Demacia,57,Gori,EDG,Mid,4,15.7,0.566,4,7,0.8,2,7.8,57,Gori,12,406,8.47,535,0.25,390,0.149,0.4,0.28
2020 Demacia,58,Forge,RW,Mid,4,5.1,0.547,4,9,2,4,6.2,58,Forge,12,411,8.28,454,0.22,412,0.162,0.4,0.19
2020 Demacia,59,New,OMG,Top,4,3.8,0.495,2,4,3,4,9.2,59,New,13,356,6.9,395,0.202,578,0.223,0.44,0.16
2020 Demacia,60,Cherub,TT,Bot,4,1.5,0.479,2.8,6,3.8,5,3,60,Cherub,4,380,8.44,285,0.158,471,0.165,0.28,0.24
2020 Demacia,61,bless,TT,Jug,4,2.3,0.708,3.5,8,3.8,5,5,61,bless,10,343,6.15,379,0.209,738,0.258,0.21,0.36
2020 Demacia,62,shanji,TP,Top,4,0.9,0.6,2.5,3,5.2,8,2,62,shanji,4,348,7.7,546,0.295,665,0.239,0.35,0.08
2020 Demacia,63,M1kuya,LNG,Top,4,2.6,0.554,2,3,3.5,7,7,63,M1kuya,10,339,7.2,388,0.186,883,0.303,0.35,0.18
2020 Demacia,64,Shadow,SDX,Sup,4,1.2,0.551,0.2,1,5.8,7,6.5,64,Shadow,15,231,1.34,125,0.069,444,0.136,1.41,0.32
2020 Demacia,65,Duye,SDX,Mid,4,3.3,0.673,1.8,3,2.5,4,6.5,65,Duye,16,391,7.66,390,0.214,453,0.139,0.48,0.17
2020 Demacia,66,xiaocaobao,YM,Mid,4,9.6,0.727,5.2,7,1.2,3,6.8,66,xiaocaobao,12,440,9.13,664,0.355,448,0.176,0.52,0.32
2020 Demacia,67,rat,ES,Bot,4,3.9,0.66,4.5,11,2,4,3.2,67,rat,6,432,9.72,502,0.309,360,0.152,0.4,0.33
2020 Demacia,68,Xiamu,EDG,Sup,4,6.7,0.723,1.2,3,2.2,4,13.8,68,Xiamu,20,244,1,182,0.085,397,0.152,1.48,0.24
2020 Demacia,69,Xzz,IG,Mid,4,5.8,0.825,4.5,8,2.2,3,8.5,69,Xzz,19,386,7.37,498,0.22,637,0.195,0.42,0.13
2020 Demacia,70,Eric,OMG,Bot,4,4.8,0.626,8.2,13,3,4,6,70,Eric,8,490,9.33,537,0.275,473,0.182,0.35,0.36
2020 Demacia,71,Wuming,OMG,Mid,4,7.7,0.593,6.2,10,1.8,3,7.2,71,Wuming,10,427,7.83,458,0.234,319,0.123,0.43,0.27
2020 Demacia,72,demon,BLG,Top,4,3.2,0.575,4,9,3.2,7,6.5,72,demon,17,358,6.13,519,0.273,689,0.252,0.39,0.19
2020 Demacia,73,zs,ES,Top,4,6,0.638,2,6,1.2,3,5.5,73,zs,12,338,7.31,340,0.209,513,0.216,0.41,0.12
2020 Demacia,74,Novice,TP,Mid,4,1.1,0.533,1.2,2,3.5,6,2.8,74,Novice,6,336,7.67,398,0.215,502,0.18,0.55,0.14
2020 Demacia,75,Xiaoxiang,EDG,Top,4,9.4,0.566,4.2,9,1.2,3,7.5,75,Xiaoxiang,14,414,8.66,531,0.248,735,0.281,0.45,0.22
2020 Demacia,76,Xing,YM,Bot,4,10.5,0.636,4,7,1,2,6.5,76,Xing,12,459,9.78,373,0.2,363,0.143,0.51,0.37
2020 Demacia,77,Iwandy,LNG,Sup,4,2.5,0.738,0.5,2,4.8,9,11.5,77,Iwandy,19,222,1.16,145,0.07,479,0.164,1.68,0.42
2020 Demacia,78,XUN,IG,Jug,4,3.1,0.778,4.5,9,4,8,7.8,78,XUN,13,359,5.62,461,0.203,877,0.269,0.22,0.24
2020 Demacia,79,Kepler,SDX,Bot,4,2.2,0.633,4.2,9,3.5,4,3.5,79,Kepler,10,431,9.26,471,0.259,549,0.168,0.32,0.4
2020 Demacia,80,chel1y,TP,Bot,4,0.8,0.567,1.5,3,5,7,2.8,80,chel1y,6,363,8.65,371,0.201,461,0.166,0.28,0.22
2020 Demacia,81,yanxiang,SDX,Jug,4,2.1,0.551,2.2,4,3.2,4,4.5,81,yanxiang,8,329,5.68,315,0.173,903,0.277,0.4,0.25
2020 Demacia,82,zaza,SDX,Top,4,1.7,0.673,3.8,11,4.8,6,4.5,82,zaza,7,391,7.68,518,0.285,911,0.279,0.26,0.06
2020 Demacia,83,neny,IG,Top,4,2.8,0.571,3,10,3.2,6,6,83,neny,15,381,7.47,521,0.23,813,0.249,0.28,0.19
2020 Demacia,84,Hook,TP,Jug,4,1.1,0.6,2,5,4.2,7,2.5,84,Hook,3,317,5.71,285,0.154,650,0.233,0.32,0.37
2020 Demacia,85,Qingtian,YM,Top,4,2.4,0.439,3,9,3,5,4.2,85,Qingtian,6,365,7.21,414,0.222,672,0.264,0.27,0.13
2020 Demacia,86,THH,DYU,Top,4,2.1,0.556,4.2,6,3.5,7,3.2,86,THH,9,404,7.76,515,0.28,872,0.253,0.22,0.11
2020 Demacia,87,Geju,DYU,Jug,4,1.8,0.593,4,8,4.5,7,4,87,Geju,7,345,5.84,356,0.194,879,0.255,0.27,0.24
2020 Demacia,88,Jichao,DYU,Mid,4,1.8,0.611,1.5,3,4.5,7,6.8,88,Jichao,14,314,6.17,411,0.224,563,0.164,0.3,0.09
2020 Demacia,89,Shiye,DYU,Bot,4,1.6,0.593,3.2,9,5,9,4.8,89,Shiye,7,378,7.9,338,0.184,623,0.181,0.37,0.31
2020 Demacia,90,Augety,LYA,Top,4,0.4,0.25,0.2,1,4,5,1.5,90,Augety,3,328,7.52,234,0.178,665,0.271,0.37,0.17
2020 Demacia,91,zzx,LYA,Jug,4,1.4,0.679,1.2,2,3.5,5,3.5,91,zzx,7,310,5.96,352,0.268,547,0.223,0.46,0.28
2020 Demacia,92,haichao,LYA,Mid,4,2.2,0.643,2.2,6,2,3,2.2,92,haichao,3,340,7.71,303,0.231,438,0.178,0.42,0.1
2020 Demacia,93,guigui,LYA,Bot,4,1.4,0.643,2.5,4,3.2,5,2,93,guigui,5,378,8.5,333,0.254,376,0.153,0.4,0.37
2020 Demacia,94,kedaya,LYA,Sup,4,1.6,0.857,0.8,2,3.8,5,5.2,94,kedaya,10,208,1.1,90,0.069,432,0.176,1.74,0.4
2020 Demacia,95,Yuurih,CMG,Top,4,0.7,0.4,1,2,3.5,6,1.5,95,Yuurih,4,322,6.98,344,0.228,555,0.201,0.36,0.06
2020 Demacia,96,Jasmine,CMG,Jug,4,0.6,0.52,2.2,4,5.5,8,1,96,Jasmine,2,323,5.8,283,0.187,782,0.284,0.17,0.23
2020 Demacia,97,Ziyu,CMG,Mid,4,0.4,0.32,0.2,1,4.5,5,1.8,97,Ziyu,3,319,8.06,366,0.243,473,0.172,0.36,0.13
2020 Demacia,98,yyc,CMG,Sup,4,0.8,0.72,0.8,2,5.5,7,3.8,98,yyc,8,219,1.38,147,0.098,511,0.185,1.36,0.35
2020 Demacia,99,lain,HMG,Top,4,0.7,0.459,0.8,1,5.8,8,3.5,99,lain,7,305,6.42,383,0.185,847,0.257,0.35,0.08
2020 Demacia,100,chuyu,HMG,Jug,4,1.5,0.919,3.2,7,5.8,7,5.2,100,chuyu,10,375,6.64,617,0.299,822,0.249,0.29,0.19
2020 Demacia,101,Lye,HMG,Mid,4,1.4,0.568,2.5,4,3.8,5,2.8,101,Lye,6,326,6.45,396,0.192,510,0.155,0.23,0.3
2020 Demacia,102,zholly,HMG,Bot,4,1,0.568,2.2,6,5.5,7,3,102,zholly,5,361,7.65,428,0.207,560,0.17,0.33,0.29
2020 Demacia,103,Jinjiao,SN,Bot,3,1.4,0.68,1.7,3,4,6,4,103,Jinjiao,6,363,8.41,497,0.222,512,0.178,0.37,0.26
2020 Demacia,104,SofM,SN,Jug,3,0.7,0.52,2,3,6.7,8,2.3,104,SofM,4,356,7.1,462,0.206,709,0.247,0.54,0.56
2020 Demacia,105,Limpid,LGD,Mid,3,1.4,0.5,2,3,2.7,5,1.7,105,Limpid,4,357,7.96,414,0.29,461,0.155,0.35,0.09
2020 Demacia,106,Angel,SN,Mid,3,2.2,0.52,2.3,5,2,3,2,106,Angel,3,351,8.35,732,0.327,288,0.1,0.46,0.14
2020 Demacia,107,irma,ES,Mid,3,2,0.69,2.7,4,3.3,7,4,107,irma,9,373,7.86,374,0.262,419,0.178,0.52,0.29
2020 Demacia,108,Garvey,LGD,Bot,3,0.7,0.545,1.3,3,5.7,6,2.7,108,Garvey,3,358,8.18,294,0.206,548,0.184,0.41,0.17
2020 Demacia,109,Bin,SN,Top,3,0.8,0.6,2,3,6,8,3,109,Bin,4,316,6.26,410,0.183,862,0.3,0.47,0.15
2020 Demacia,110,peace,LGD,Sup,3,1.3,0.773,0.3,1,4.3,5,5.3,110,peace,8,210,1.25,117,0.082,438,0.147,1.78,0.46
2020 Demacia,111,Jiejie,EDG,Jug,3,8.5,0.723,3,6,1.3,3,8.3,111,Jiejie,14,371,6.85,314,0.171,601,0.24,0.4,0.76
2020 Demacia,112,Cult,LGD,Top,3,0.7,0.409,1.3,2,4.3,7,1.7,112,Cult,3,355,8.17,315,0.221,856,0.287,0.25,0.19
2020 Demacia,113,ON,SN,Sup,3,0.6,0.4,0.3,1,5.7,8,3,113,ON,5,202,1.21,140,0.062,502,0.175,1.64,0.53
2020 Demacia,114,Famingjia,YM,Jug,3,4,0.667,1,2,2.3,6,8.3,114,Famingjia,13,297,4.68,211,0.122,759,0.291,0.27,0.35
2020 Demacia,115,Linjie,DYU,Sup,3,2,0.622,0.7,1,4.7,7,8.7,115,Linjie,15,230,1.07,245,0.13,451,0.136,1.51,0.36
2020 Demacia,116,MIZ,HMG,Sup,3,0.8,0.667,0.7,2,8,11,6,116,MIZ,12,231,1.55,248,0.124,534,0.171,1.1,0.32
2020 Demacia,117,Baolan,IG,Sup,2,0.7,0.833,0,0,7,8,5,117,Baolan,7,222,1.57,152,0.092,580,0.188,1.66,0.51
2020 Demacia,118,Snow,IG,Bot,2,10,0.588,5.5,7,1.5,3,9.5,118,Snow,11,460,8.26,684,0.234,434,0.126,0.37,0.15
2020 Demacia,119,Lucas,IG,Sup,2,3.8,0.667,1,2,4.5,8,16,119,Lucas,16,261,1.22,176,0.06,457,0.132,1.6,0.37
2020 Demacia,120,Flora,LGD,Jug,2,1.6,0.615,1.5,2,2.5,3,2.5,120,Flora,4,314,6.32,232,0.184,486,0.19,0.26,0.41
2020 Demacia,121,Leon,CMG,Bot,2,1.6,0.846,2,3,3.5,4,3.5,121,Leon,6,339,6.85,417,0.275,419,0.146,0.31,0.15
2020 Demacia,122,Black8,CMG,Bot,2,0.8,0.667,2,3,5,6,2,122,Black8,2,355,7.16,313,0.208,454,0.173,0.35,0.05
2020 Demacia,123,Puff,IG,Bot,1,3,0.75,1,1,2,2,5,123,Puff,5,416,9.7,758,0.385,452,0.142,0.34,0.37
2020 Demacia,124,Wink,IG,Bot,1,1.5,0.75,1,1,2,2,2,124,Wink,2,360,9.16,366,0.282,338,0.114,0.51,0.33
2020 Demacia,125,Kui,LGD,Jug,1,1.8,0.778,4,4,4,4,3,125,Kui,3,373,6.05,393,0.227,1023,0.272,0.26,0.55
2020 Demacia,126,Insulator,ES,Mid,1,2.5,0.556,1,1,4,4,9,126,Insulator,9,322,6.84,450,0.211,498,0.203,0.56,0.15
2020 Demacia,127,JunJia,EDG,Jug,1,16,0.444,5,5,0,0,11,127,JunJia,11,469,7.86,504,0.149,794,0.258,0.82,0.25
2020 Demacia,128,Heng,YM,Jug,1,22,0.917,12,12,0,0,10,128,Heng,10,533,6.42,579,0.246,575,0.248,0.49,0.16
2020 Demacia,129,XCM,DYU,Sup,1,0.6,0.556,0,0,9,9,5,129,XCM,5,205,1.19,103,0.063,714,0.182,1.02,0.08
2020 Demacia,130,zegeniu,HMG,Sup,1,0.3,0.571,0,0,12,12,4,130,zegeniu,4,213,0.46,212,0.093,631,0.159,0.78,0.28
2019 LPL Spring,1,Zoom,JDG,Top,56,3.5,0.64,3,10,2.2,9,4.9,1,Zoom,15,415,8.7,474,0.262,616,0.238,0.45,0.14
2019 LPL Spring,2,Yagao,JDG,Mid,56,3.3,0.703,2.8,8,2.6,7,5.9,2,Yagao,16,385,8.21,493,0.272,438,0.169,0.41,0.22
2019 LPL Spring,3,LvMao,JDG,Sup,55,2.6,0.703,1,4,3.4,7,7.7,3,LvMao,20,260,1.49,152,0.084,424,0.164,1.39,0.23
2019 LPL Spring,4,Flawless,JDG,Jug,51,3,0.716,2.1,8,3.1,7,7.2,4,Flawless,20,316,4.67,208,0.113,762,0.292,0.83,0.44
2019 LPL Spring,5,imp,JDG,Bot,50,3.4,0.7,3.7,11,2.5,6,4.9,5,imp,14,416,8.79,475,0.263,347,0.134,0.38,0.33
2019 LPL Spring,6,Doinb,FPX,Mid,47,5.3,0.722,3.8,11,1.9,5,6.5,6,Doinb,18,432,9.23,477,0.28,558,0.217,0.44,0.21
2019 LPL Spring,7,GimGoon,FPX,Top,47,4.9,0.556,2.4,8,1.6,6,5.5,7,GimGoon,15,375,7.5,384,0.225,563,0.219,0.45,0.15
2019 LPL Spring,8,LokeN,TES,Bot,47,5.5,0.651,3.1,8,1.4,5,4.9,8,LokeN,15,432,9.45,483,0.271,324,0.127,0.39,0.38
2019 LPL Spring,9,Lwx,FPX,Bot,47,5.1,0.662,4.3,18,1.8,6,5.1,9,Lwx,15,441,9.45,440,0.258,342,0.133,0.3,0.31
2019 LPL Spring,10,Crisp,FPX,Sup,47,4.1,0.662,0.7,3,2.3,8,8.6,10,Crisp,23,282,1.87,116,0.068,401,0.156,1.54,0.22
2019 LPL Spring,11,knight,TES,Mid,47,5.9,0.734,3.8,11,1.5,4,5.2,11,knight,14,412,9.04,510,0.286,441,0.172,0.34,0.26
2019 LPL Spring,12,Tian,FPX,Jug,47,4.4,0.715,3,10,2.3,7,7.1,12,Tian,17,334,4.79,290,0.17,701,0.273,0.73,0.49
2019 LPL Spring,13,Xx,TES,Jug,47,3.6,0.678,1.8,8,2.3,6,6.5,13,Xx,19,317,4.83,220,0.123,735,0.287,0.75,0.48
2019 LPL Spring,14,Ben,TES,Sup,44,3.6,0.667,0.8,3,2.3,6,7.5,14,Ben,17,269,1.64,141,0.08,358,0.142,1.26,0.26
2019 LPL Spring,15,Rookie,IG,Mid,42,4.4,0.642,3.9,11,2.5,6,7.3,15,Rookie,17,402,8.21,613,0.273,469,0.165,0.4,0.24
2019 LPL Spring,16,Ning,IG,Jug,42,4.3,0.7,4.3,11,2.9,7,7.9,16,Ning,22,365,5.23,335,0.15,839,0.294,0.48,0.35
2019 LPL Spring,17,Baolan,IG,Sup,42,3.6,0.689,1.1,6,3.3,8,11,17,Baolan,24,268,1.46,187,0.083,470,0.165,1.43,0.23
2019 LPL Spring,18,Xiaopeng,TT,Jug,41,3.1,0.729,3.4,13,2.9,8,5.7,18,Xiaopeng,15,346,5.46,302,0.171,713,0.284,0.6,0.55
2019 LPL Spring,19,Twila,TT,Mid,41,3.5,0.646,2.3,13,2.3,8,5.7,19,Twila,16,384,8.56,486,0.275,450,0.179,0.42,0.28
2019 LPL Spring,20,Changhong,TT,Top,41,2.9,0.635,2.1,6,2.7,7,5.8,20,Changhong,19,360,7.21,362,0.205,675,0.269,0.41,0.13
2019 LPL Spring,21,GALA,TT,Bot,41,4.8,0.709,4.1,10,1.8,5,4.7,21,GALA,11,436,9.47,498,0.282,337,0.134,0.33,0.3
2019 LPL Spring,22,Xiaohu,RNG,Mid,40,4.3,0.69,3,8,2.2,5,6.5,22,Xiaohu,16,388,8.24,480,0.264,436,0.165,0.35,0.26
2019 LPL Spring,23,Karsa,RNG,Jug,40,3.3,0.745,3.2,10,3.1,8,7.1,23,Karsa,13,336,4.83,280,0.154,767,0.291,0.82,0.39
2019 LPL Spring,24,Ming,RNG,Sup,40,3.4,0.726,1,4,3,6,9,24,Ming,22,276,1.55,158,0.087,424,0.161,1.61,0.27
2019 LPL Spring,25,JackeyLove,IG,Bot,40,4.5,0.644,4.8,13,2.5,7,6.5,25,JackeyLove,14,448,9.17,561,0.25,387,0.136,0.29,0.35
2019 LPL Spring,26,Puff,RA,Bot,40,3.4,0.748,3.3,9,2.2,7,4.3,26,Puff,13,425,9.7,545,0.315,384,0.143,0.36,0.41
2019 LPL Spring,27,Southwind,RA,Sup,40,2.6,0.806,0.8,4,3.1,8,7.4,27,Southwind,21,287,2.02,160,0.093,463,0.172,1.4,0.32
2019 LPL Spring,28,Aix,RA,Jug,40,2.7,0.713,1.4,5,2.7,6,5.8,28,Aix,19,298,4.69,209,0.121,755,0.281,0.61,0.4
2019 LPL Spring,29,Jay,RA,Mid,40,2.5,0.662,2.5,10,2.6,6,4.2,29,Jay,13,363,7.93,410,0.237,488,0.182,0.36,0.26
2019 LPL Spring,30,Mark,TT,Sup,40,3.7,0.713,0.5,3,2.4,6,8.3,30,Mark,16,271,1.67,117,0.067,334,0.134,1.41,0.29
2019 LPL Spring,31,Meiko,EDG,Sup,39,3.6,0.7,0.8,4,2.4,7,7.9,31,Meiko,21,271,1.78,145,0.08,379,0.154,1.47,0.25
2019 LPL Spring,32,Mystic,WE,Bot,39,3.8,0.689,4.5,13,2.4,8,4.5,32,Mystic,13,449,9.79,559,0.307,368,0.143,0.36,0.44
2019 LPL Spring,33,Scout,EDG,Mid,39,4.5,0.702,3.2,13,1.9,5,5.6,33,Scout,19,392,8.44,483,0.265,432,0.176,0.33,0.31
2019 LPL Spring,34,Missing,WE,Sup,39,3.2,0.703,0.5,5,2.9,6,8.7,34,Missing,21,290,1.99,166,0.091,447,0.174,1.55,0.24
2019 LPL Spring,35,369,TES,Top,39,3.2,0.583,2.8,9,2.3,7,4.4,35,369,14,397,8.33,427,0.241,673,0.267,0.42,0.19
2019 LPL Spring,36,Poss,WE,Top,39,3.3,0.495,2.1,7,1.9,5,4.4,36,Poss,13,372,7.99,360,0.197,550,0.214,0.49,0.19
2019 LPL Spring,37,Flandre,LNG,Top,38,2.2,0.609,2.3,8,2.8,9,4,37,Flandre,11,380,8.57,423,0.246,622,0.249,0.42,0.22
2019 LPL Spring,38,Kramer,LGD,Bot,38,4.1,0.694,3.9,13,2,5,4.3,38,Kramer,11,436,9.47,565,0.309,370,0.14,0.42,0.41
2019 LPL Spring,39,Rey,EDG,Top,38,3.2,0.611,2.9,13,2.4,6,4.6,39,Rey,12,381,8.02,429,0.238,576,0.234,0.42,0.21
2019 LPL Spring,40,condi,LGD,Jug,38,3.2,0.696,2.3,9,2.6,5,6,40,condi,15,311,4.51,213,0.117,726,0.275,0.48,0.39
2019 LPL Spring,41,SofM,LNG,Jug,38,3,0.734,1.8,9,2.5,5,5.8,41,SofM,13,307,4.99,226,0.131,712,0.285,0.76,0.55
2019 LPL Spring,42,Maestro,LNG,Sup,38,2.5,0.668,0.6,3,2.7,7,6.3,42,Maestro,16,270,1.72,121,0.07,361,0.145,1.54,0.14
2019 LPL Spring,43,Asura,LNG,Bot,38,3.7,0.685,3.4,9,1.9,6,3.6,43,Asura,11,425,9.43,529,0.307,336,0.134,0.33,0.28
2019 LPL Spring,44,Kuro,BLG,Mid,37,6,0.711,3.5,10,1.6,6,6.3,44,Kuro,15,389,8.28,512,0.258,417,0.154,0.51,0.3
2019 LPL Spring,45,SwordArt,SN,Sup,37,4.1,0.731,0.9,3,2.2,8,8.3,45,SwordArt,18,275,1.67,152,0.081,388,0.145,1.52,0.27
2019 LPL Spring,46,Xiye,WE,Mid,37,4.2,0.711,4,13,2.3,7,5.6,46,Xiye,14,408,8.62,516,0.276,466,0.18,0.34,0.26
2019 LPL Spring,47,Jinjiao,BLG,Bot,37,5,0.703,4.2,9,1.9,6,5.5,47,Jinjiao,11,438,9.49,605,0.305,363,0.135,0.43,0.42
2019 LPL Spring,48,ADD,BLG,Top,37,4.3,0.669,2.7,9,2.1,7,6.5,48,ADD,16,369,7.38,475,0.239,688,0.255,0.58,0.28
2019 LPL Spring,49,Meteor,BLG,Jug,37,4,0.705,2.6,9,2.4,6,7.1,49,Meteor,15,332,5.26,258,0.13,815,0.301,0.7,0.43
2019 LPL Spring,50,Corn,V5,Mid,36,3.6,0.707,3.2,8,2.5,7,5.6,50,Corn,13,381,8.18,423,0.25,448,0.167,0.43,0.19
2019 LPL Spring,51,Smlz,SN,Bot,36,3,0.628,3.4,9,2.7,8,4.6,51,Smlz,12,433,9.6,604,0.318,392,0.146,0.33,0.41
2019 LPL Spring,52,Jinoo,V5,Top,36,2.5,0.575,2.8,9,2.9,7,4.3,52,Jinoo,10,382,7.89,428,0.252,638,0.238,0.52,0.24
2019 LPL Spring,53,y4,V5,Bot,36,3.8,0.702,3.8,10,2.3,7,5,53,y4,12,418,8.86,482,0.285,394,0.147,0.31,0.32
2019 LPL Spring,54,,OMG,Bot,36,2.7,0.595,2.4,8,2.5,5,4.4,54,,14,393,8.89,425,0.259,392,0.146,0.38,0.37
2019 LPL Spring,55,Uzi,RNG,Bot,35,4.7,0.689,4.3,12,2,6,5.3,55,Uzi,18,456,9.96,540,0.3,358,0.137,0.38,0.47
2019 LPL Spring,56,icon,OMG,Mid,34,2.6,0.698,3.6,14,3.2,7,4.6,56,icon,13,390,8.39,480,0.289,519,0.192,0.4,0.18
2019 LPL Spring,57,Lies,LGD,Top,34,2.7,0.55,2.2,6,2.5,6,4.5,57,Lies,11,371,7.64,412,0.221,627,0.238,0.42,0.15
2019 LPL Spring,58,TheShy,IG,Top,34,3.1,0.564,3.5,10,3.2,8,6.4,58,TheShy,13,418,8.25,573,0.258,665,0.239,0.36,0.13
2019 LPL Spring,59,LANGX,SN,Top,33,2.7,0.561,2.6,9,2.5,7,4.2,59,LANGX,10,401,8.68,457,0.242,662,0.245,0.47,0.2
2019 LPL Spring,60,COLD,OMG,Sup,32,2.9,0.703,0.7,3,2.8,6,7.5,60,COLD,20,279,1.94,145,0.088,426,0.159,1.46,0.2
2019 LPL Spring,61,iBoy,EDG,Bot,32,3.9,0.707,3.9,17,2.2,6,4.9,61,iBoy,15,436,9.4,597,0.329,390,0.16,0.33,0.44
2019 LPL Spring,62,Mni,BLG,Sup,32,3.5,0.68,0.7,4,2.7,7,8.6,62,Mni,16,272,1.82,131,0.067,414,0.156,1.45,0.24
2019 LPL Spring,63,Zwuji,RW,Bot,31,3.9,0.724,3.4,10,2,5,4.4,63,Zwuji,11,411,8.96,507,0.3,354,0.132,0.35,0.36
2019 LPL Spring,64,beishang,WE,Jug,30,4,0.699,2.4,7,2.4,6,7.3,64,beishang,21,329,5.05,251,0.131,772,0.298,0.56,0.44
2019 LPL Spring,65,Maple,SN,Mid,29,3.4,0.712,3,9,2.4,6,5.3,65,Maple,16,381,8.49,433,0.236,442,0.166,0.55,0.23
2019 LPL Spring,66,Chelizi,RA,Top,27,3.4,0.589,2.2,8,1.7,4,3.6,66,Chelizi,10,359,7.6,365,0.22,584,0.219,0.47,0.2
2019 LPL Spring,67,Ale,OMG,Top,27,2.2,0.568,2.7,10,2.8,6,3.7,67,Ale,16,372,7.76,403,0.238,642,0.235,0.39,0.16
2019 LPL Spring,68,AmazingJ,RNG,Top,26,3.4,0.55,2.6,12,2.3,7,5.4,68,AmazingJ,12,374,7.53,355,0.189,656,0.248,0.45,0.22
2019 LPL Spring,69,Ley,V5,Sup,25,2.4,0.638,0.6,4,3.4,9,7.8,69,Ley,17,281,1.88,129,0.077,447,0.172,1.29,0.3
2019 LPL Spring,70,Clearlove,EDG,Jug,24,3.7,0.658,1.4,4,2.3,6,7.2,70,Clearlove,18,300,4.41,178,0.094,679,0.274,0.89,0.36
2019 LPL Spring,71,Pyl,LGD,Sup,24,2.9,0.631,0.5,2,2.7,5,7.3,71,Pyl,16,279,2.02,127,0.067,427,0.161,1.5,0.3
2019 LPL Spring,72,Yuuki,LGD,Mid,24,2.7,0.694,3,7,3,7,5.2,72,Yuuki,13,387,8.55,513,0.288,547,0.209,0.27,0.24
2019 LPL Spring,73,Ben4,V5,Jug,23,3,0.693,2,7,3,6,6.9,73,Ben4,14,320,4.7,261,0.153,712,0.271,0.49,0.43
