Match,Teams,Result
2020/4/5 SP VS GRF,Griffin,2
2020/4/5 SP VS GRF,SeolHaeOne Prince,1
2020/4/6 OMG VS VG,Oh My God,2
2020/4/6 OMG VS VG,Vici Gaming,1
2020/4/6 TES VS RW,Rogue Warriors,1
2020/4/6 TES VS RW,Top Esports,2
2020/4/6 V5 VS SN,Suning,2
2020/4/6 V5 VS SN,Victory Five,0
2020/4/7 BLG VS DMO,Bilibili Gaming,2
2020/4/7 BLG VS DMO,Dominus Esports,1
2020/4/7 ES VS JDG,eStar,0
2020/4/7 ES VS JDG,JD Gaming,2
2020/4/7 FPX VS LNG,FunPlus Phoenix,2
2020/4/7 FPX VS LNG,LNG Esports,0
2020/4/8 DWG VS GRF,DAMWON Gaming,0
2020/4/8 DWG VS GRF,Griffin,2
2020/4/8 OMG VS SN,Oh My God,2
2020/4/8 OMG VS SN,Suning,0
2020/4/8 RW VS VG,Rogue Warriors,2
2020/4/8 RW VS VG,Vici Gaming,1
2020/4/8 SP VS GEN,Gen.G,2
2020/4/8 SP VS GEN,SeolHaeOne Prince,1
2020/4/8 WE VS TES,Team WE,2
2020/4/8 WE VS TES,Top Esports,1
2020/4/9 AF VS GRF,Afreeca Freecs,2
2020/4/9 AF VS GRF,Griffin,0
2020/4/9 EDG VS LNG,EDward Gaming,2
2020/4/9 EDG VS LNG,LNG Esports,0
2020/4/9 JDG VS IG,Invictus Gaming,0
2020/4/9 JDG VS IG,JD Gaming,2
2020/4/9 LGD VS RNG,LGD Gaming,2
2020/4/9 LGD VS RNG,Royal Never Give Up,0
2020/4/9 LSB VS T1,SANDBOX Gaming,0
2020/4/9 LSB VS T1,T1,2
2020/5/2 JDG VS TES,JD Gaming,3
2020/5/2 JDG VS TES,Top Esports,2
2020/5/28 DWG VS FPX,DAMWON Gaming,0
2020/5/28 DWG VS FPX,FunPlus Phoenix,1
2020/5/28 FPX VS T1,FunPlus Phoenix,0
2020/5/28 FPX VS T1,T1,1
2020/5/28 T1 VS DWG,DAMWON Gaming,1
2020/5/28 T1 VS DWG,T1,0
2020/5/28 T1 VS TES,T1,0
2020/5/28 T1 VS TES,Top Esports,1
2020/5/28 TES VS DWG,DAMWON Gaming,0
2020/5/28 TES VS DWG,Top Esports,1
2020/5/28 TES VS FPX,FunPlus Phoenix,1
2020/5/28 TES VS FPX,Top Esports,0
2020/5/29 DRX VS GEN,DRX,2
2020/5/29 DRX VS GEN,Gen.G,0
2020/5/29 DRX VS JDG,DRX,0
2020/5/29 DRX VS JDG,JD Gaming,2
2020/5/29 GEN VS IG,Gen.G,2
2020/5/29 GEN VS IG,Invictus Gaming,0
2020/5/29 IG VS GEN,Gen.G,1
2020/5/29 IG VS GEN,Invictus Gaming,0
2020/5/29 JDG VS GEN,Gen.G,1
2020/5/29 JDG VS GEN,JD Gaming,0
2020/5/29 JDG VS IG,Invictus Gaming,0
2020/5/29 JDG VS IG,JD Gaming,2
2020/5/30 FPX VS JDG,FunPlus Phoenix,3
2020/5/30 FPX VS JDG,JD Gaming,1
2020/5/30 GEN VS TES,Gen.G,0
2020/5/30 GEN VS TES,Top Esports,3
2020/5/31 FPX VS TES,FunPlus Phoenix,1
2020/5/31 FPX VS TES,Top Esports,3
2020/6/10 SN VS JDG,JD Gaming,2
2020/6/10 SN VS JDG,Suning,0
2020/6/10 VG VS RNG,Royal Never Give Up,2
2020/6/10 VG VS RNG,Vici Gaming,0
2020/6/11 ES VS DMO,Dominus Esports,0
2020/6/11 ES VS DMO,eStar,2
2020/6/11 WE VS IG,Invictus Gaming,0
2020/6/11 WE VS IG,Team WE,2
2020/6/12 FPX VS BLG,Bilibili Gaming,0
2020/6/12 FPX VS BLG,FunPlus Phoenix,2
2020/6/12 RNG VS LNG,LNG Esports,2
2020/6/12 RNG VS LNG,Royal Never Give Up,0
2020/6/13 OMG VS EDG,EDward Gaming,2
2020/6/13 OMG VS EDG,Oh My God,0
2020/6/13 V5 VS LGD,LGD Gaming,2
2020/6/13 V5 VS LGD,Victory Five,1
2020/6/14 JD VS TES,JD Gaming,0
2020/6/14 JD VS TES,Top Esports,2
2020/6/14 SN VS IG,Invictus Gaming,2
2020/6/14 SN VS IG,Suning,0
2020/6/15 BLG VS ES,Bilibili Gaming,2
2020/6/15 BLG VS ES,eStar,1
2020/6/15 VG VS WE,Team WE,2
2020/6/15 VG VS WE,Vici Gaming,0
2020/6/16 LGD VS DMO,Dominus Esports,0
2020/6/16 LGD VS DMO,LGD Gaming,2
2020/6/16 TES VS OMG,Oh My God,1
2020/6/16 TES VS OMG,Top Esports,2
2020/6/17 DRX VS T1,DRX,2
2020/6/17 DRX VS T1,T1,1
2020/6/17 EDG VS SN,EDward Gaming,2
2020/6/17 EDG VS SN,Suning,1
2020/6/17 IG VS RW,Invictus Gaming,2
2020/6/17 IG VS RW,Rogue Warriors,0
2020/6/17 LSB VS AF,Afreeca Freecs,2
2020/6/17 LSB VS AF,SANDBOX Gaming,0
2020/6/18 HLE VS SP,Hanwha Life Esports,1
2020/6/18 HLE VS SP,SeolHaeOne Prince,2
2020/6/18 JD VS RNG,JD Gaming,1
2020/6/18 JD VS RNG,Royal Never Give Up,2
2020/6/18 KT VS DYN,KT Rolster,0
2020/6/18 KT VS DYN,Team Dynamics,2
2020/6/18 V5 VS BLG,Bilibili Gaming,1
2020/6/18 V5 VS BLG,Victory Five,2
2020/6/19 DWG VS LSB,DAMWON Gaming,2
2020/6/19 DWG VS LSB,SANDBOX Gaming,0
2020/6/19 ES VS LNG,eStar,2
2020/6/19 ES VS LNG,LNG Esports,0
2020/6/19 FPX VS WE,FunPlus Phoenix,2
2020/6/19 FPX VS WE,Team WE,1
2020/6/19 GEN VS DRX,DRX,2
2020/6/19 GEN VS DRX,Gen.G,1
2020/6/20 DMO VS OMG,Dominus Esports,0
2020/6/20 DMO VS OMG,Oh My God,2
2020/6/20 DYN VS AF,Afreeca Freecs,2
2020/6/20 DYN VS AF,Team Dynamics,1
2020/6/20 T1 VS HLE,Hanwha Life Esports,1
2020/6/20 T1 VS HLE,T1,2
2020/6/20 TES VS LGD,LGD Gaming,0
2020/6/20 TES VS LGD,Top Esports,2
2020/6/21 IG VS EDG,EDward Gaming,1
2020/6/21 IG VS EDG,Invictus Gaming,2
2020/6/21 KT VS GEN,Gen.G,2
2020/6/21 KT VS GEN,KT Rolster,1
2020/6/21 SN VS RW,Rogue Warriors,0
2020/6/21 SN VS RW,Suning,2
2020/6/21 SP VS DWG,DAMWON Gaming,2
2020/6/21 SP VS DWG,SeolHaeOne Prince,0
2020/6/22 ES VS RNG,eStar,1
2020/6/22 ES VS RNG,Royal Never Give Up,2
2020/6/22 V5 VS VG,Vici Gaming,0
2020/6/22 V5 VS VG,Victory Five,2
2020/6/23 JDG VS DMO,Dominus Esports,0
2020/6/23 JDG VS DMO,JD Gaming,2
2020/6/23 LGD VS IG,Invictus Gaming,1
2020/6/23 LGD VS IG,LGD Gaming,2
2020/6/24 DYN VS SP,SeolHaeOne Prince,1
2020/6/24 DYN VS SP,Team Dynamics,2
2020/6/24 HLW VS KT,Hanwha Life Esports,0
2020/6/24 HLW VS KT,KT Rolster,2
2020/6/24 LNG VS OMG,LNG Esports,0
2020/6/24 LNG VS OMG,Oh My God,2
2020/6/24 TES VS BLG,Bilibili Gaming,0
2020/6/24 TES VS BLG,Top Esports,2
2020/6/25 DRX VS LSB,DRX,2
2020/6/25 DRX VS LSB,SANDBOX Gaming,1
2020/6/25 FPX VS IG,FunPlus Phoenix,1
2020/6/25 FPX VS IG,Invictus Gaming,2
2020/6/25 GEN VS DWG,DAMWON Gaming,1
2020/6/25 GEN VS DWG,Gen.G,2
2020/6/25 RNG VS V5,Royal Never Give Up,0
2020/6/25 RNG VS V5,Victory Five,2
2020/6/26 AF VS T1,Afreeca Freecs,1
2020/6/26 AF VS T1,T1,2
2020/6/26 HLE VS DYN,Hanwha Life Esports,0
2020/6/26 HLE VS DYN,Team Dynamics,2
2020/6/26 RW VS WE,Rogue Warriors,0
2020/6/26 RW VS WE,Team WE,2
2020/6/26 TES VS EDG,EDward Gaming,1
2020/6/26 TES VS EDG,Top Esports,2
2020/6/27 DWG VS KT,DAMWON Gaming,2
2020/6/27 DWG VS KT,KT Rolster,0
2020/6/27 ES VS FPX,eStar,0
2020/6/27 ES VS FPX,FunPlus Phoenix,2
2020/6/27 SN VS DMO,Dominus Esports,1
2020/6/27 SN VS DMO,Suning,2
2020/6/27 SP VS GEN,Gen.G,2
2020/6/27 SP VS GEN,SeolHaeOne Prince,0
2020/6/28 AF VS  DRX,Afreeca Freecs,0
2020/6/28 AF VS  DRX,DRX,2
2020/6/28 LNG VS VG,LNG Esports,1
2020/6/28 LNG VS VG,Vici Gaming,2
2020/6/28 LSB VS T1,SANDBOX Gaming,0
2020/6/28 LSB VS T1,T1,2
2020/6/28 RW VS JDG,JD Gaming,2
2020/6/28 RW VS JDG,Rogue Warriors,1
2020/6/29 DMO VS EDG,Dominus Esports,2
2020/6/29 DMO VS EDG,EDward Gaming,0
2020/6/29 FPX VS V5,FunPlus Phoenix,2
2020/6/29 FPX VS V5,Victory Five,1
2020/6/30 LNG VS BLG,Bilibili Gaming,2
2020/6/30 LNG VS BLG,LNG Esports,0
2020/6/30 RNG VS WE,Royal Never Give Up,1
2020/6/30 RNG VS WE,Team WE,2
2020/6/5 EDG VS WE,EDward Gaming,1
2020/6/5 EDG VS WE,Team WE,2
2020/6/5 LNG VS SN,LNG Esports,0
2020/6/5 LNG VS SN,Suning,2
2020/6/6 OMG VS RNG,Oh My God,0
2020/6/6 OMG VS RNG,Royal Never Give Up,2
2020/6/6 V5 VS DMO,Dominus Esports,0
2020/6/6 V5 VS DMO,Victory Five,2
2020/6/7 VG VS BLG,Bilibili Gaming,0
2020/6/7 VG VS BLG,Vici Gaming,2
2020/6/7 WE VS SN,Suning,2
2020/6/7 WE VS SN,Team WE,1
2020/6/8 LGD VS ES,eStar,1
2020/6/8 LGD VS ES,LGD Gaming,2
2020/6/8 OMG VS V5,Oh My God,1
2020/6/8 OMG VS V5,Victory Five,2
2020/6/9 FPX VS LNG,FunPlus Phoenix,1
2020/6/9 FPX VS LNG,LNG Esports,2
2020/6/9 RW VS TES,Rogue Warriors,0
2020/6/9 RW VS TES,Top Esports,2
2020/7/1 DMO VS IG,Dominus Esports,1
2020/7/1 DMO VS IG,Invictus Gaming,2
2020/7/1 GEN VS LSB,Gen.G,2
2020/7/1 GEN VS LSB,SANDBOX Gaming,0
2020/7/1 SN VS LGD,LGD Gaming,0
2020/7/1 SN VS LGD,Suning,2
2020/7/1 T1 VS DWG,DAMWON Gaming,2
2020/7/1 T1 VS DWG,T1,0
2020/7/10 BLG VS OMG,Bilibili Gaming,2
2020/7/10 BLG VS OMG,Oh My God,1
2020/7/10 DYN VS GEN,Gen.G,2
2020/7/10 DYN VS GEN,Team Dynamics,0
2020/7/10 IG VS ES,eStar,1
2020/7/10 IG VS ES,Invictus Gaming,2
2020/7/10 LSB VS KT,KT Rolster,0
2020/7/10 LSB VS KT,SANDBOX Gaming,2
2020/7/11 AF VS SP,Afreeca Freecs,2
2020/7/11 AF VS SP,SeolHaeOne Prince,0
2020/7/11 DMO VS RW,Dominus Esports,1
2020/7/11 DMO VS RW,Rogue Warriors,2
2020/7/11 DRX VS DWG,DAMWON Gaming,1
2020/7/11 DRX VS DWG,DRX,2
2020/7/11 TES VS FPX,FunPlus Phoenix,0
2020/7/11 TES VS FPX,Top Esports,2
2020/7/12 EDG VS RNG,EDward Gaming,0
2020/7/12 EDG VS RNG,Royal Never Give Up,2
2020/7/12 GEN VS HLE,Gen.G,2
2020/7/12 GEN VS HLE,Hanwha Life Esports,0
2020/7/12 LGD VS OMG,LGD Gaming,2
2020/7/12 LGD VS OMG,Oh My God,1
2020/7/12 T1 VS DYN,T1,1
2020/7/12 T1 VS DYN,Team Dynamics,2
2020/7/13 SN VS BLG,Bilibili Gaming,1
2020/7/13 SN VS BLG,Suning,2
2020/7/13 TES VS V5,Top Esports,1
2020/7/13 TES VS V5,Victory Five,2
2020/7/14 LGD VS RW,LGD Gaming,0
2020/7/14 LGD VS RW,Rogue Warriors,2
2020/7/14 WE VS LNG,LNG Esports,1
2020/7/14 WE VS LNG,Team WE,2
2020/7/15 AF VS GEN,Afreeca Freecs,0
2020/7/15 AF VS GEN,Gen.G,2
2020/7/15 DWG VS DYN,DAMWON Gaming,2
2020/7/15 DWG VS DYN,Team Dynamics,0
2020/7/15 ES VS OMG,eStar,2
2020/7/15 ES VS OMG,Oh My God,1
2020/7/15 JDG VS VG,JD Gaming,2
2020/7/15 JDG VS VG,Vici Gaming,1
2020/7/16 KT VS T1,KT Rolster,0
2020/7/16 KT VS T1,T1,2
2020/7/16 LNG VS IG,Invictus Gaming,2
2020/7/16 LNG VS IG,LNG Esports,0
2020/7/16 SN VS RNG,Royal Never Give Up,1
2020/7/16 SN VS RNG,Suning,2
2020/7/16 SP VS LSB,SANDBOX Gaming,2
2020/7/16 SP VS LSB,SeolHaeOne Prince,1
2020/7/17 AF VS DWG,Afreeca Freecs,0
2020/7/17 AF VS DWG,DAMWON Gaming,2
2020/7/17 EDG VS LGD,EDward Gaming,0
2020/7/17 EDG VS LGD,LGD Gaming,2
2020/7/17 HLE VS DRX,DRX,2
2020/7/17 HLE VS DRX,Hanwha Life Esports,0
2020/7/17 RW VS FPX,FunPlus Phoenix,0
2020/7/17 RW VS FPX,Rogue Warriors,2
2020/7/18 BLG VS DMO,Bilibili Gaming,2
2020/7/18 BLG VS DMO,Dominus Esports,0
2020/7/18 IG VS RNG,Invictus Gaming,2
2020/7/18 IG VS RNG,Royal Never Give Up,1
2020/7/18 KT VS LSB,KT Rolster,2
2020/7/18 KT VS LSB,SANDBOX Gaming,0
2020/7/18 T1 VS GEN,Gen.G,2
2020/7/18 T1 VS GEN,T1,0
2020/7/19 DYN VS DRX,DRX,2
2020/7/19 DYN VS DRX,Team Dynamics,0
2020/7/19 JDG VS FPX,FunPlus Phoenix,0
2020/7/19 JDG VS FPX,JD Gaming,2
2020/7/19 SP VS HLE,Hanwha Life Esports,2
2020/7/19 SP VS HLE,SeolHaeOne Prince,1
2020/7/19 VG VS TES,Top Esports,2
2020/7/19 VG VS TES,Vici Gaming,0
2020/7/2 DRX VS DYN,DRX,2
2020/7/2 DRX VS DYN,Team Dynamics,0
2020/7/2 HLE VS AF,Afreeca Freecs,2
2020/7/2 HLE VS AF,Hanwha Life Esports,0
2020/7/2 OMG VS RW,Oh My God,2
2020/7/2 OMG VS RW,Rogue Warriors,1
2020/7/2 WE VS JDG,JD Gaming,2
2020/7/2 WE VS JDG,Team WE,1
2020/7/20 IG VS V5,Invictus Gaming,2
2020/7/20 IG VS V5,Victory Five,1
2020/7/20 WE VS LGD,LGD Gaming,2
2020/7/20 WE VS LGD,Team WE,0
2020/7/21 OMG VS FPX,FunPlus Phoenix,2
2020/7/21 OMG VS FPX,Oh My God,0
2020/7/21 VG VS EDG,EDward Gaming,2
2020/7/21 VG VS EDG,Vici Gaming,1
2020/7/22 RW VS ES,eStar,0
2020/7/22 RW VS ES,Rogue Warriors,2
2020/7/22 WE VS BLG,Bilibili Gaming,1
2020/7/22 WE VS BLG,Team WE,2
2020/7/23 GEN VS DYN,Gen.G,2
2020/7/23 GEN VS DYN,Team Dynamics,0
2020/7/23 KT VS DRX,DRX,2
2020/7/23 KT VS DRX,KT Rolster,1
2020/7/23 LNG VS JDG,JD Gaming,2
2020/7/23 LNG VS JDG,LNG Esports,1
2020/7/23 TES VS DMO,Dominus Esports,0
2020/7/23 TES VS DMO,Top Esports,2
2020/7/24 LSB VS DWG,DAMWON Gaming,2
2020/7/24 LSB VS DWG,SANDBOX Gaming,0
2020/7/24 RNG VS LGD,LGD Gaming,2
2020/7/24 RNG VS LGD,Royal Never Give Up,1
2020/7/24 SP VS AF,Afreeca Freecs,2
2020/7/24 SP VS AF,SeolHaeOne Prince,0
2020/7/24 V5 VS SN,Suning,2
2020/7/24 V5 VS SN,Victory Five,1
2020/7/25 DRX VS GEN,DRX,2
2020/7/25 DRX VS GEN,Gen.G,1
2020/7/25 EDG VS FPX,EDward Gaming,1
2020/7/25 EDG VS FPX,FunPlus Phoenix,2
2020/7/25 HLE VS T1,Hanwha Life Esports,1
2020/7/25 HLE VS T1,T1,2
2020/7/25 VG VS OMG,Oh My God,1
2020/7/25 VG VS OMG,Vici Gaming,2
2020/7/26 BLG VS JDG,Bilibili Gaming,0
2020/7/26 BLG VS JDG,JD Gaming,2
2020/7/26 DYN VS KT,KT Rolster,2
2020/7/26 DYN VS KT,Team Dynamics,1
2020/7/26 IG VS TES,Invictus Gaming,2
2020/7/26 IG VS TES,Top Esports,0
2020/7/26 LSB VS SP,SANDBOX Gaming,2
2020/7/26 LSB VS SP,SeolHaeOne Prince,0
2020/7/27 DMO VS VG,Dominus Esports,0
2020/7/27 DMO VS VG,Vici Gaming,2
2020/7/27 OMG VS SN,Oh My God,1
2020/7/27 OMG VS SN,Suning,2
2020/7/28 BLG VS RW,Bilibili Gaming,2
2020/7/28 BLG VS RW,Rogue Warriors,0
2020/7/28 EDG VS LNG,EDward Gaming,2
2020/7/28 EDG VS LNG,LNG Esports,0
2020/7/29 FPX VS LGD,FunPlus Phoenix,2
2020/7/29 FPX VS LGD,LGD Gaming,1
2020/7/29 JDG VS ES,eStar,0
2020/7/29 JDG VS ES,JD Gaming,2
2020/7/3 GEN VS T1,Gen.G,0
2020/7/3 GEN VS T1,T1,2
2020/7/3 KT VS SP,KT Rolster,2
2020/7/3 KT VS SP,SeolHaeOne Prince,0
2020/7/3 TES VS LNG,LNG Esports,0
2020/7/3 TES VS LNG,Top Esports,2
2020/7/3 VG VS ES,eStar,1
2020/7/3 VG VS ES,Vici Gaming,2
2020/7/30 AF VS HLE,Afreeca Freecs,2
2020/7/30 AF VS HLE,Hanwha Life Esports,0
2020/7/30 DWG VS DRX,DAMWON Gaming,2
2020/7/30 DWG VS DRX,DRX,0
2020/7/30 SN VS TES,Suning,0
2020/7/30 SN VS TES,Top Esports,2
2020/7/30 WE VS V5,Team WE,1
2020/7/30 WE VS V5,Victory Five,2
2020/7/31 LGD VS VG,LGD Gaming,2
2020/7/31 LGD VS VG,Vici Gaming,0
2020/7/31 LSB VS DYN,SANDBOX Gaming,2
2020/7/31 LSB VS DYN,Team Dynamics,1
2020/7/31 RNG VS DMO,Dominus Esports,0
2020/7/31 RNG VS DMO,Royal Never Give Up,2
2020/7/31 T1 VS KT,KT Rolster,0
2020/7/31 T1 VS KT,T1,2
2020/7/4 DWG VS HLE,DAMWON Gaming,2
2020/7/4 DWG VS HLE,Hanwha Life Esports,0
2020/7/4 DYN VS LSB,SANDBOX Gaming,2
2020/7/4 DYN VS LSB,Team Dynamics,1
2020/7/4 IG VS JDG,Invictus Gaming,0
2020/7/4 IG VS JDG,JD Gaming,2
2020/7/4 RW VS EDG,EDward Gaming,2
2020/7/4 RW VS EDG,Rogue Warriors,0
2020/7/5 ES VS V5,eStar,0
2020/7/5 ES VS V5,Victory Five,2
2020/7/5 KT VS AF,Afreeca Freecs,2
2020/7/5 KT VS AF,KT Rolster,0
2020/7/5 RNG VS FPX,FunPlus Phoenix,2
2020/7/5 RNG VS FPX,Royal Never Give Up,1
2020/7/5 SP VS DRX,DRX,2
2020/7/5 SP VS DRX,SeolHaeOne Prince,0
2020/7/6 JDG VS EDG,EDward Gaming,0
2020/7/6 JDG VS EDG,JD Gaming,2
2020/7/6 WE VS DMO,Dominus Esports,1
2020/7/6 WE VS DMO,Team WE,2
2020/7/7 SN VS ES,eStar,1
2020/7/7 SN VS ES,Suning,2
2020/7/7 VG VS RW,Rogue Warriors,1
2020/7/7 VG VS RW,Vici Gaming,2
2020/7/8 BLG VS IG,Bilibili Gaming,1
2020/7/8 BLG VS IG,Invictus Gaming,2
2020/7/8 DRX VS KT,DRX,1
2020/7/8 DRX VS KT,KT Rolster,2
2020/7/8 LNG VS V5,LNG Esports,0
2020/7/8 LNG VS V5,Victory Five,2
2020/7/8 LSB VS HLE,Hanwha Life Esports,0
2020/7/8 LSB VS HLE,SANDBOX Gaming,2
2020/7/9 DWG VS AF,Afreeca Freecs,0
2020/7/9 DWG VS AF,DAMWON Gaming,2
2020/7/9 LGD VS JDG ,JD Gaming,2
2020/7/9 LGD VS JDG ,LGD Gaming,1
2020/7/9 T1 VS SP,SeolHaeOne Prince,0
2020/7/9 T1 VS SP,T1,2
2020/7/9 VG VS FPX,FunPlus Phoenix,1
2020/7/9 VG VS FPX,Vici Gaming,2
2020/8/1 DRX VS AF,Afreeca Freecs,0
2020/8/1 DRX VS AF,DRX,2
2020/8/1 EDG VS BLG,Bilibili Gaming,0
2020/8/1 EDG VS BLG,EDward Gaming,2
2020/8/1 GEN VS SP,Gen.G,2
2020/8/1 GEN VS SP,SeolHaeOne Prince,0
2020/8/1 IG VS OMG,Invictus Gaming,2
2020/8/1 IG VS OMG,Oh My God,0
2020/8/1 RW VS LNG,LNG Esports,2
2020/8/1 RW VS LNG,Rogue Warriors,0
2020/8/13 LSB VS GEN,Gen.G,2
2020/8/13 LSB VS GEN,SANDBOX Gaming,1
2020/8/13 T1 VS AF,Afreeca Freecs,0
2020/8/13 T1 VS AF,T1,2
2020/8/13 V5 VS FPX,FunPlus Phoenix,1
2020/8/13 V5 VS FPX,Victory Five,3
2020/8/14 DRX VS HLE,DRX,2
2020/8/14 DRX VS HLE,Hanwha Life Esports,0
2020/8/14 LGD VS WE,LGD Gaming,3
2020/8/14 LGD VS WE,Team WE,1
2020/8/14 SP VS KT,KT Rolster,2
2020/8/14 SP VS KT,SeolHaeOne Prince,0
2020/8/15 AF VS LSB,Afreeca Freecs,2
2020/8/15 AF VS LSB,SANDBOX Gaming,1
2020/8/15 DYN VS DWG,DAMWON Gaming,2
2020/8/15 DYN VS DWG,Team Dynamics,0
2020/8/15 SN VS V5,Suning,3
2020/8/15 SN VS V5,Victory Five,1
2020/8/16 DRX VS SP,DRX,2
2020/8/16 DRX VS SP,SeolHaeOne Prince,1
2020/8/16 HEL VS GEN,Gen.G,2
2020/8/16 HEL VS GEN,Hanwha Life Esports,0
2020/8/16 IG VS LGD,Invictus Gaming,0
2020/8/16 IG VS LGD,LGD Gaming,3
2020/8/2 ES VS WE,eStar,0
2020/8/2 ES VS WE,Team WE,2
2020/8/2 HLE VS DWG,DAMWON Gaming,2
2020/8/2 HLE VS DWG,Hanwha Life Esports,0
2020/8/2 T1 VS LSB,SANDBOX Gaming,0
2020/8/2 T1 VS LSB,T1,2
2020/8/2 TES VS RNG,Royal Never Give Up,2
2020/8/2 TES VS RNG,Top Esports,0
2020/8/2 V5 VS JDG,JD Gaming,1
2020/8/2 V5 VS JDG,Victory Five,2
2020/8/20 AF VS KT,Afreeca Freecs,2
2020/8/20 AF VS KT,KT Rolster,1
2020/8/20 DWG VS T1,DAMWON Gaming,2
2020/8/20 DWG VS T1,T1,0
2020/8/21 HLE VS LSB,Hanwha Life Esports,0
2020/8/21 HLE VS LSB,SANDBOX Gaming,2
2020/8/21 SP VS DYN,SeolHaeOne Prince,0
2020/8/21 SP VS DYN,Team Dynamics,2
2020/8/22 GEN VS AF,Afreeca Freecs,0
2020/8/22 GEN VS AF,Gen.G,2
2020/8/22 KT VS DWG,DAMWON Gaming,2
2020/8/22 KT VS DWG,KT Rolster,0
2020/8/22 TES VS SN,Suning,0
2020/8/22 TES VS SN,Top Esports,3
2020/8/23 DYN VS HLE,Hanwha Life Esports,2
2020/8/23 DYN VS HLE,Team Dynamics,1
2020/8/23 JDG VS LGD,JD Gaming,3
2020/8/23 JDG VS LGD,LGD Gaming,1
2020/8/23 T1 VS DRX,DRX,1
2020/8/23 T1 VS DRX,T1,2
2020/8/25 LGD VS SN,LGD Gaming,0
2020/8/25 LGD VS SN,Suning,3
2020/8/26 T1 VS AF,Afreeca Freecs,2
2020/8/26 T1 VS AF,T1,1
2020/8/27 TES VS JDG,JD Gaming,2
2020/8/27 TES VS JDG,Top Esports,3
2020/8/28 GEN VS AF,Afreeca Freecs,0
2020/8/28 GEN VS AF,Gen.G,3
2020/8/28 SN VS LGD,LGD Gaming,0
2020/8/28 SN VS LGD,Suning,3
2020/8/29 FPX VS IG,FunPlus Phoenix,2
2020/8/29 FPX VS IG,Invictus Gaming,3
2020/8/3 BLG VS LGD,Bilibili Gaming,1
2020/8/3 BLG VS LGD,LGD Gaming,2
2020/8/3 FPX VS DMO,Dominus Esports,0
2020/8/3 FPX VS DMO,FunPlus Phoenix,2
2020/8/30 DRX VS GEN,DRX,1
2020/8/30 DRX VS GEN,Gen.G,2
2020/8/30 LGD VS IG,Invictus Gaming,1
2020/8/30 LGD VS IG,LGD Gaming,3
2020/8/4 EDG VS V5,EDward Gaming,2
2020/8/4 EDG VS V5,Victory Five,0
2020/8/4 OMG VS WE,Oh My God,2
2020/8/4 OMG VS WE,Team WE,1
2020/8/5 ES VS TES,eStar,1
2020/8/5 ES VS TES,Top Esports,2
2020/8/5 LNG VS LGD,LGD Gaming,0
2020/8/5 LNG VS LGD,LNG Esports,2
2020/8/6 BLG VS RNG,Bilibili Gaming,2
2020/8/6 BLG VS RNG,Royal Never Give Up,0
2020/8/6 DWG VS GEN,DAMWON Gaming,2
2020/8/6 DWG VS GEN,Gen.G,1
2020/8/6 SP VS T1,SeolHaeOne Prince,0
2020/8/6 SP VS T1,T1,2
2020/8/6 V5 VS RW,Rogue Warriors,0
2020/8/6 V5 VS RW,Victory Five,2
2020/8/7 AF VS DYN,Afreeca Freecs,2
2020/8/7 AF VS DYN,Team Dynamics,1
2020/8/7 JDG VS OMG,JD Gaming,2
2020/8/7 JDG VS OMG,Oh My God,0
2020/8/7 KT VS HLE,Hanwha Life Esports,1
2020/8/7 KT VS HLE,KT Rolster,2
2020/8/7 SN VS VG,Suning,2
2020/8/7 SN VS VG,Vici Gaming,1
2020/8/8 DWG VS SP,DAMWON Gaming,2
2020/8/8 DWG VS SP,SeolHaeOne Prince,0
2020/8/8 ES VS EDG,EDward Gaming,2
2020/8/8 ES VS EDG,eStar,0
2020/8/8 LNG VS DMO,Dominus Esports,0
2020/8/8 LNG VS DMO,LNG Esports,2
2020/8/8 LSB VS DRX,DRX,2
2020/8/8 LSB VS DRX,SANDBOX Gaming,0
2020/8/8 TES VS WE,Team WE,1
2020/8/8 TES VS WE,Top Esports,2
2020/8/9 DYN VS T1,T1,2
2020/8/9 DYN VS T1,Team Dynamics,0
2020/8/9 FPX VS SN,FunPlus Phoenix,1
2020/8/9 FPX VS SN,Suning,2
2020/8/9 GEN VS KT,Gen.G,2
2020/8/9 GEN VS KT,KT Rolster,1
2020/8/9 IG VS VG,Invictus Gaming,1
2020/8/9 IG VS VG,Vici Gaming,2
2020/8/9 RW VS RNG,Rogue Warriors,0
2020/8/9 RW VS RNG,Royal Never Give Up,2
2020/9/25 LGC VS INTZ,INTZ,0
2020/9/25 LGC VS INTZ,Legacy Esports,1
2020/9/25 LGD VS PSG,LGD Gaming,0
2020/9/25 LGD VS PSG,PSG Talon,1
2020/9/25 MAD VS INTZ,INTZ,0
2020/9/25 MAD VS INTZ,MAD Lions,1
2020/9/25 PSG VS R7,PSG Talon,1
2020/9/25 PSG VS R7,Rainbow7,0
2020/9/25 TL VS MAD,MAD Lions,0
2020/9/25 TL VS MAD,Team Liquid,1
2020/9/26 INTZ VS SUP,INTZ,0
2020/9/26 INTZ VS SUP,SuperMassive Esports,1
2020/9/26 LGD VS R7,LGD Gaming,0
2020/9/26 LGD VS R7,Rainbow7,1
2020/9/26 R7 VS V3,Rainbow7,0
2020/9/26 R7 VS V3,V3 Esports,1
2020/9/26 SUP VS MAD,MAD Lions,0
