Match,Teams,Result
2020/10/9 JDG VS DWG,JD Gaming,1
2020/10/9 JDG VS PSG,JD Gaming,0
2020/10/9 JDG VS PSG,PSG Talon,1
2020/10/9 PSG VS DWG,DAMWON Gaming,1
2020/10/9 PSG VS DWG,PSG Talon,0
2020/10/9 PSG VS RGE,PSG Talon,1
2020/10/9 PSG VS RGE,Rogue,0
2020/10/9 RGE VS JDG,JD Gaming,1
2020/10/9 RGE VS JDG,Rogue,0
2020/2/12 AF VS SP,Afreeca Freecs,2
2020/2/12 AF VS SP,SeolHaeOne Prince,1
2020/2/12 GRF VS ASB,Griffin,2
2020/2/12 GRF VS ASB,SANDBOX Gaming,1
2020/2/13 DRX VS HLE,DRX,2
2020/2/13 DRX VS HLE,Hanwha Life Esports,0
2020/2/13 KT VS T1,KT Rolster,0
2020/2/13 KT VS T1,T1,2
2020/2/14 DWG VS GEN,DAMWON Gaming,0
2020/2/14 DWG VS GEN,Gen.G,2
2020/2/14 GRF VS SP,Griffin,2
2020/2/14 GRF VS SP,SeolHaeOne Prince,1
2020/2/15 AF VS DRX,Afreeca Freecs,1
2020/2/15 AF VS DRX,DRX,2
2020/2/15 HLE VS SB,Hanwha Life Esports,2
2020/2/15 HLE VS SB,SANDBOX Gaming,0
2020/2/16 DWG VS KT,DAMWON Gaming,2
2020/2/16 DWG VS KT,KT Rolster,0
2020/2/16 GEN VS HLE,Gen.G,0
2020/2/16 T1 VS GEN,Gen.G,1
2020/2/16 T1 VS GEN,T1,2
2020/2/19 DRX VS T1,DRX,1
2020/2/19 DRX VS T1,T1,2
2020/2/19 GEN VS HLE,Gen.G,2
2020/2/19 GEN VS HLE,Hanwha Life Esports,0
2020/2/20 GRF VS DWG,DAMWON Gaming,2
2020/2/20 GRF VS DWG,Griffin,1
2020/2/20 KT VS SP,KT Rolster,0
2020/2/20 KT VS SP,SeolHaeOne Prince,2
2020/2/21 DRX VS GEN,DRX,1
2020/2/21 DRX VS GEN,Gen.G,2
2020/2/21 SB VS AF,Afreeca Freecs,2
2020/2/21 SB VS AF,SANDBOX Gaming,1
2020/2/22 HLE VS GRF,Griffin,1
2020/2/22 HLE VS GRF,Hanwha Life Esports,2
2020/2/22 SP VS T1,SeolHaeOne Prince,0
2020/2/22 SP VS T1,T1,2
2020/2/23 AF VS KT,Afreeca Freecs,1
2020/2/23 AF VS KT,KT Rolster,2
